pubDate,publication,org,featured,headlineEn,headlineEnShort,tag,headlineCh,link,imgLink,award,note
2019/2/19,The Paper,Freelance,1,An Illustrated Guide to the Rise and Fall of China's Bike Sharing Empires,China's Bike Sharing Empires,,图绘 | 这条“生命线”，记录了共享单车三年成败史,https://www.thepaper.cn/newsDetail_forward_3005387,https://spepechen.github.io/img/bike.jpg,,I got a chance to sell the idea of combining doodles and charts for a major business story.
2018/12/6,Tencent News,Dataviz.cn,,"How an A-list superstar Fan Bingbing's Tax Fraud Scandal Affected Film and TV industry in Khorgas, Xinjiang","How an A-list superstar Fan Bingbing's Tax Fraud Scandal Affected Film and TV industry in Khorgas, Xinjiang",,有多少明星通过合法避税赚钱？政策的羊毛能被薅多久？,https://mp.weixin.qq.com/s/RpkNUJizfg3jb9dQp-q7yQ,,,
2018/6/15,Tencent News,Dataviz.cn,,Pick your Mr. Soccer,Pick your Mr. Soccer,,Pick足球先生,https://news.qq.com/zt2018/footballer/index.htm,,,
2018/05/12,Tencent News,Dataviz.cn,,10 years after Wenchuan earthquake: Rebuilding home and lives,10 years after Wenchuan earthquake: Rebuilding home and lives,,汶川的孩子,https://news.qq.com/zt2018/wchildren,,,
2018/2/11,Tencent News,Dataviz.cn,,Unravelling 1000 child trafficking routes in China,Unravelling 1000 child trafficking routes in China,,宝贝，我们等你回家过年－－图解十年千位儿童的被拐路线,https://mp.weixin.qq.com/s/cm1kkdiSFoGW4CsLIyNjfw,,,
2018/2/9,Tencent News,Dataviz.cn,,Chinese slow trains in the era of high-speed,Chinese slow trains in the era of high-speed,,快時代的慢火車,https://news.qq.com/topic/train_story.htm,,,
2018/2/1,Tencent News,Dataviz.cn,1,How the Number of China’s Train Stations Has Doubled in a Decade ,China's 2207 Train Stations,,中国2207个火车站的十年进化,https://news.qq.com/zt2018/slowTrain/,https://spepechen.github.io/img/train.jpg,,I created polar charts in MATLAB to show the number of trains that originate from the selected station and the angles are corresponding to the coordinates of the start and the destination.
2017/07/14,Tencent News,Dataviz.cn,,Beijing's school district housing fever,Beijing's school district housing fever,,圖解學區房,https://news.qq.com/zt2017/xqfstory/data.htm,,2017 Kantar Information is Beautiful - Long list,
2020-2021,MVTEC,MVTEC,1,Spain Vaccination Tracker ,Spain Vaccination Tracker ,"Pandas, D3, Svelte",,https://covid-vaccination-tracker.vercel.app/,https://raw.githubusercontent.com/spepechen/spepechen.github.io/master/img/tracker.png,,
2020-2021,MVTEC,MVTEC,1,"All you ""knit"" is help!","All You ""Knit"" is Help!","D3, Svelte",,https://mvtec-google-workshop-cornsilk.vercel.app/,https://raw.githubusercontent.com/spepechen/spepechen.github.io/master/img/knit.png,,
2020-2021,MVTEC,MVTEC,1,60 Days of My Life,60 Days of My Life,"D3, Svelte",,https://60-days.vercel.app/,https://raw.githubusercontent.com/spepechen/spepechen.github.io/master/img/60days.png,,
2020-2021,MVTEC,MVTEC,1,A bird-eye view tour around Taiwan,Bird-eye View Tour around Taiwan,"Mapbox, EO browser",,https://spe.neocities.org/carto/index.html,https://raw.githubusercontent.com/spepechen/spepechen.github.io/master/img/sunmoonlake.png,,Custom scripts in EO browser
2020-2021,MVTEC,MVTEC,1,Cooperació catalana,Cooperació Catalana,"D3, Svelte",,https://cooperacio-spepechen.vercel.app/,https://raw.githubusercontent.com/spepechen/spepechen.github.io/master/img/sankey.png,,
2020-2021,MVTEC,MVTEC,1,Independent Cinema Spaces in Asia,Independent Cinema Spaces in Asia,Svelte,,https://nang-magazine-laurarago.vercel.app/,https://raw.githubusercontent.com/spepechen/spepechen.github.io/master/img/cinema.png,,
2020-2021,MVTEC,MVTEC,,Citizen Centric Project: Proposal to better communicate how Singapore government use citizens' biometric data for digital services,Citizen Centric Project: Proposal to better communicate how Singapore government use citizens' biometric data for digital services,,,https://docs.google.com/presentation/d/1AOvCfTyOqvVeh17c2ZDCGBRY6uXkKWm0b0bYI1fvho8/edit?usp=sharing,,,
2020-2021,MVTEC,MVTEC,,D3 practices in Observable notebooks,D3 practices in Observable notebooks,,,https://observablehq.com/collection/@spepechen/mvtec,,,
2020-2021,MVTEC,MVTEC,,Other course works,Other course works,,,https://www.notion.so/Spe-s-portfolio-51c898c0a7e34626a7fb927a4b39f5b1,,,
